"﻿""frc""",timestamp,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure
FRC3,2021-04-30 17:46,24,53,28,12,0.9800000190734863,False
FRC3,2021-04-30 17:56,32,53,21,12,0.9800000190734863,False
FRC3,2021-04-30 18:06,29,53,23,12,0.9599999785423279,False
FRC3,2021-04-30 18:16,27,54,25,12,0.8799999952316284,False
FRC3,2021-04-30 18:26,17,52,40,13,0.9100000262260437,False
FRC3,2021-04-30 18:36,30,54,22,12,0.9599999785423279,False
FRC3,2021-04-30 18:46,31,54,22,12,0.9399999976158142,False
FRC3,2021-04-30 18:56,38,53,18,12,0.9700000286102295,False
FRC3,2021-04-30 19:06,36,54,19,12,0.9300000071525574,False
FRC3,2021-04-30 19:16,35,53,19,12,0.9399999976158142,False
FRC3,2021-04-30 19:26,33,53,20,12,0.8199999928474426,False
FRC3,2021-04-30 19:36,17,53,40,12,0.8799999952316284,False
FRC3,2021-04-30 19:46,17,53,40,12,0.8199999928474426,False
FRC3,2021-04-30 19:56,28,54,24,12,0.8799999952316284,False
FRC3,2021-04-30 20:06,33,54,20,12,0.8299999833106995,False
FRC3,2021-04-30 20:16,37,54,18,12,0.8299999833106995,False
FRC3,2021-04-30 20:26,40,53,17,12,0.6499999761581421,False
FRC3,2021-04-30 20:36,42,53,16,12,0.5099999904632568,False
FRC3,2021-04-30 20:46,53,53,12,12,0.5099999904632568,False
FRC3,2021-04-30 20:56,53,53,12,12,0.5099999904632568,False
FRC3,2021-04-30 21:06,53,53,12,12,0.5099999904632568,False
FRC3,2021-04-30 21:16,53,53,12,12,0.5099999904632568,False
FRC3,2021-04-30 21:26,53,53,12,12,0.5099999904632568,False
FRC3,2021-04-30 21:36,53,53,12,12,0.5099999904632568,False
FRC3,2021-04-30 21:46,53,53,12,12,0.5099999904632568,False
FRC3,2021-04-30 21:56,53,53,12,12,0.5099999904632568,False
FRC3,2021-04-30 22:06,53,53,12,12,0.5099999904632568,False
FRC3,2021-04-30 22:16,53,53,12,12,0.5099999904632568,False
